Player,MLBAM_ID
Framber Valdez,664285
Andrew McCutchen,457705
Mike Tauchman,643565
Connelly Early,813349
Yandy Díaz,650490
Jalen Beeks,656222
José Leclerc,600917
Taj Bradley,671737
Carlos Correa,621043
